Tarih,Sembol,Fiyat,Gunluk %,Hacim 1g,Rejim G,Rejim H,Rejim A,Cakisma,ATR %
2026-07-24,EGPRO,35.36,0.740740740740735,526590,0.5,0.53,0.81,0,5.127963217937236
2026-07-24,HLGYO,4.92,-2.186878727634201,13001628,0.62,0.78,0.59,0,3.6957642516128137
2026-07-24,MRSHL,1702.0,-0.642148277875073,84482,1.36,0.84,1.83,1,7.98396728615464
2026-07-24,OZKGY,12.86,-0.1552795031056005,1225910,0.5,0.65,0.6,0,3.0340314313662744
2026-07-24,AYDEM,25.84,-2.269288956127085,849665,0.36,1.07,0.64,0,4.089159867974677
2026-07-24,ENTRA,4.49,-2.6030368763557505,13695118,0.63,0.95,0.69,0,3.743744248050864
2026-07-24,BALSU,16.52,-1.0778443113772438,21638545,0.26,0.87,2.51,0,8.1930643647648
2026-07-24,KONYA,3772.5,0.6,12351,1.49,0.56,1.11,1,3.534408426385508
2026-07-24,LILAK,30.24,-2.1992238033635294,1244636,0.68,0.55,0.58,0,3.536658013951273
2026-07-24,POLTK,4850.0,0.1031991744066047,2442,0.57,0.46,0.8,0,3.475463457624935
2026-07-24,ALFAS,46.76,-0.6796941376380635,1528840,0.54,0.64,0.8,0,4.6755120743168535
2026-07-24,EGEEN,5455.0,-0.4562043795620437,9078,1.04,0.63,0.78,0,2.744639526582841
2026-07-24,ALTNY,16.92,-0.4705882352941076,12799018,0.52,0.88,0.97,0,4.90501100349605
2026-07-24,EKDMR,52.15,-1.4177693761814745,15401329,0.86,0.72,,0,6.720386239936829
2026-07-24,POLHO,21.82,-1.5342960288808658,1153493,0.21,0.92,0.68,0,3.483087426873637
2026-07-24,FZLGY,12.99,-2.6236881559220366,16288246,0.64,0.84,0.95,0,6.544703791735793
2026-07-24,MIATK,33.8,1.9300361881785304,24259346,0.84,0.94,0.93,0,6.08519521459054
2026-07-24,KBORU,26.4,-1.197604790419163,2083485,0.35,0.67,0.76,0,3.57725570631977
2026-07-24,KARTN,211.7,-0.5636449037106703,451974,0.23,1.15,1.31,1,6.313763430158723
2026-07-24,BANVT,157.6,-0.3162555344718533,39398,0.22,0.3,1.66,0,3.508174680837517
2026-07-24,BFREN,126.9,-0.7042253521126693,64807,0.62,0.72,0.55,0,1.995077962813076
2026-07-24,TATEN,13.71,-0.5079825834542708,7387149,0.43,0.79,0.49,0,5.410281386769203
2026-07-24,OBAMS,5.27,-1.4953271028037398,24362527,0.53,1.16,0.75,0,4.39789286914936
2026-07-24,MOBTL,14.53,-1.5582655826558294,1856719,0.58,0.74,0.59,0,3.993469301542677
2026-07-24,AHSGY,20.4,-2.5787965616045976,836769,0.41,0.56,0.96,0,5.782264919735111
2026-07-24,DEVA,75.65,0.2650762094102092,119239,0.24,0.91,0.89,0,2.8843031761055418
2026-07-24,ISKPL,9.83,-1.6999999999999995,48801762,0.42,1.16,1.22,2,8.124886838970307
2026-07-24,SVGYO,13.64,3.333333333333343,16313485,0.34,1.33,0.67,1,8.92191636180615
2026-07-24,PAGYO,165.8,0.9129640900791236,100841,0.72,0.87,0.57,0,5.1547767403208615
2026-07-24,SDTTR,241.8,0.1242236024844767,398236,0.58,0.69,0.64,0,4.855651676646362
2026-07-24,GWIND,25.0,-3.250773993808049,3450012,0.75,1.04,0.41,0,3.1259564972364617
2026-07-24,PATEK,20.5,-0.6782945736434136,4572966,0.47,0.6,0.71,0,4.819015776776673
2026-07-24,KORDS,70.35,-1.6771488469601716,1069307,0.64,0.64,1.07,0,5.881353729678073
2026-07-24,HATSN,61.05,-2.63157894736843,1906402,0.44,0.86,1.09,0,6.581672526722743
2026-07-24,GMTAS,46.08,-0.2597402597402696,1013421,0.39,1.12,0.58,0,4.779858277259312
2026-07-24,BINHO,10.37,-2.354048964218456,11475886,0.42,0.57,1.07,0,5.369145396874567
2026-07-24,GEREL,36.22,-1.0922992900054578,2260490,0.21,0.76,1.21,0,6.481987772607542
2026-07-24,GSRAY,1.01,0.0,104348228,0.64,1.11,0.65,0,2.4783029721465386
2026-07-24,ASUZU,53.8,-0.554528650646958,152360,0.51,0.68,0.66,0,3.1766197218794847
